no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
77,Lapatinib,1-H8,231277-92-2,"125µl,10mMol/L","Lapatinib is an anti-cancer drug developed by GlaxoSmithKline (GSK) as a treatment for solid tumours such as breast and lung cancer. It was approved by the FDA on March 13, 2007, for use in patients with advanced metastatic breast cancer in conjunction with the chemotherapy drug Capecitabine. Lapatinib is human epidermal growth factor receptor type 2 (HER2/ERBB2) and epidermal growth factor receptor (HER1/EGFR/ERBB1) tyrosine kinases inhibitor. It binds to the intracellular phosphorylation domain to prevent receptor autophosphorylation upon ligand binding. ",C29H26ClFN4O4S,581.06,"USP,INN","1. Rusnak DW, et al. Mol Cancer Ther, 2001, 1(2), 85-94."
78,Stanozolol,1-H9,10418-03-8,"125µl,10mMol/L","A synthetic steroid that has anabolic and androgenic properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1194) ",C21H32N2O,328.49,USP,"1. Luzardo OP, et al. Endocrinology. 2000 Sep;141(9):3377-87."
79,Trapidil,1-H10,15421-84-8,"125µl,10mMol/L",A coronary vasodilator agent.,C10H15N5,205.26,USP,"1. Kim SD, et al. Biochem Pharmacol. 2013 Sep 15;86(6):782-90."
80,Lafutidine,1-H11,118288-08-7,"125µl,10mMol/L","Lafutidine, a newly developed histamine H(2)-receptor antagonist, inhibits gastric acid secretion.",C22H29N3O4S,431.55,INN,"1. Kim EH, et al. Dig Dis Sci. 2014 Dec 23. "
81,Domperidone,2-A2,57808-66-9,"125µl,10mMol/L","Domperidone(Motilium) is a dopamine blocker and an antidopaminergic reagent. It blocks the action of. It has strong affinities for the D2 and D3 dopamine receptors, which are found in the chemoreceptor trigger zone, located just outside the blood brain barrier, which - among others - regulates nausea and vomiting (area postrema on the floor of the fourth ventricle and rhomboid fossa).",C22H24ClN5O2,425.92,"USAN, INN, BAN, JAN","1. Freedman SB, et al. J Pharmacol Exp Ther. 1994 Jan;268(1):417-26."
82,Eplerenone,2-A3,107724-20-9,"125µl,10mMol/L","Eplerenone, an aldosterone receptor antagonist similar to spironolactone, has been shown to produce sustained increases in plasma renin and serum aldosterone, consistent with inhibition of the negative regulatory feedback of aldosterone on renin secretion. The resulting increased plasma renin activity and aldosterone circulating levels do not overcome the effects of eplerenone. Eplerenone selectively binds to recombinant human mineralocorticoid receptors relative to its binding to recombinant human glucocorticoid, progesterone and androgen receptors. ",C24H30O6,414.49,USP,"1. Keidar S, et al. J Cardiovasc Pharmacol, 2003, 41(6), 955-963."
83,Nicorandil,2-A4,65141-46-0,"125µl,10mMol/L","Nicorandil(Ikorel)is potassium channel activator. It acts by relaxing the smooth muscle of the blood vessels, especially those of the venous system. It does this through two methods. Firstly, by activating potassium channels, and secondly by donating nitric oxide to activate the enzyme guanylate cyclase. Guanylate cyclase causes activation of cGMP leading to both arterial and venous vasodilatation by de-phosphorylation of the myosin light chain.",C8H9N3O4,211.18,"USAN, INN, BAN, JAN","1. Kandabashi T, et al. Circulation. 2000 Mar 21;101(11):1319-23."
84,Moclobemide (Ro 111163),2-A5,71320-77-9,"125µl,10mMol/L",A reversible inhibitor of monoamine oxidase type A; (RIMA); (see MONOAMINE OXIDASE INHIBITORS) that has antidepressive properties.  ,C13H17ClN2O2,268.74,,"1. Da Prada M, et al. J Pharmacol Exp Ther, 1989, 248(1), 400-414."
85,Galanthamine HBr,2-A6,19453,"125µl,10mMol/L",A benzazepine derived from norbelladine. It is found in GALANTHUS and other AMARYLLIDACEAE. It is a cholinesterase inhibitor that has been used to reverse the muscular effects of GALLAMINE TRIETHIODIDE and TUBOCURARINE and has been studied as a treatment for ALZHEIMER DISEASE and other central nervous system disorders. ,C17H21NO3.HBr,368.27,USAN,"1. Thomsen T, et al. Eur J Clin Chem Clin Biochem, 1991, 29(8), 487-492."
86,Sulfacetamide sodium salt hydrate,2-A7,6209-17-2,"125µl,10mMol/L",An anti-infective agent that is used topically to treat skin infections and orally for urinary tract infections,C8H9N2NaO3S.H2O,254.2,"USP, INN, BAN","1. Hevener KE, et al. J Chem Inf Model. 2009 Jan 27."
87,Urapidil HCl,2-A8,64887-14-5,"125µl,10mMol/L",Urapidil HCl is an a1-adrenoceptor antagonist and 5-HT1A receptor agonist.,C20H29N5O3.HCl,423.94,USP,"1. Luchini L, et al. Minerva Anestesiol. 1991 Sep;57(9):702-3."
88,Cetirizine 2HCl,2-A9,83881-52-1,"125µl,10mMol/L","Cetirizine dihydrochloride is a potent second-generation histamine H1 antagonist that is effective in the treatment of allergic rhinitis, chronic urticaria, and pollen-induced asthma. Unlike many traditional antihistamines, it does not cause drowsiness or anticholinergic side effects.
",C21H27Cl3N2O3,461.81,"USAN, INN, BAN","1. Christophe B, et al. Eur J Pharmacol. 2003 May 30;470(1-2):87-94."
89,Moroxydine HCl,2-A10,3160-91-6,"125µl,10mMol/L",Moroxydine HCl is a synthetic antiviral drug chemically belonging to the series of the heterocyclic biguanidines. Structurally moroxydine is a heterocyclic biguanidine. It possesses antiviral activity and is of value in the prevention and treatment of influenza. Although its mechanism of action is not fully known the effects seem to be due to an influence on the virus host-cell system.,C6H13N5O.HCl,207.66,"INN, BAN",1. Sheppard S. Acta Derm Venereol Suppl (Stockh). 1994;183:1-9.
90,Alfuzosin HCl,2-A11,81403-68-1,"125µl,10mMol/L","Alfuzosin(Uroxatral) is an alpha1 receptor antagonist used to treat benign prostatic hyperplasia (BPH). It works by relaxing the muscles in the prostate and bladder neck, making it easier to urinate. ",C19H27N5O4.HCl,425.91,"USAN, INN, BAN","1. Kenny BA, et al. Br J Pharmacol. 1996 Jun;118(4):871-8."
91,Antazoline HCl,2-B2,2508-72-7,"125µl,10mMol/L","Antazoline HCl is a first generation antihistamine, binding to the histamine H1 receptor and blocking the action of endogenous histamine.",C17H19N3.HCl,301.82,USP,"1. Milhaud D, et al. Neuroscience, 2003, 120(2), 475-484."
92,Sorafenib tosylate,2-B3,475207-59-1,"125µl,10mMol/L","Sorafenib (rINN), marketed as Nexavar by Bayer, is a drug approved for the treatment of advanced renal cell carcinoma (primary kidney cancer). It has also received “Fast Track” designation by the FDA for the treatment of advanced hepatocellular carcinoma (primary liver cancer), and has since performed well in Phase III trials.
Sorafenib is a small molecular inhibitor of Raf kinase, PDGF (platelet-derived growth factor), VEGF receptor 2 & 3 kinases and c Kit the receptor for Stem cell factor. A growing number of drugs target most of these pathways. The originality of Sorafenib lays in its simultaneous targeting of the Raf/Mek/Erk pathway.",C21H16ClF3N4O3.C7H8O3S,637.03,,"1. Wilhelm SM, et al. Cancer Res, 2004, 64(19), 7099-7109."
93,Entecavir hydrate,2-B4,209216-23-9,"125µl,10mMol/L","Entecavir, a new deoxyguanine nucleoside analogue, is a selective inhibitor of the replication of the hepatitis B virus (HBV).",C12H15N5O3.H2O,295.3,INN,"1. Levine S, et al. Antimicrob Agents Chemother, 2002, 46(8), 2525-2532."
94,Budesonide,2-B5,51333-22-3,"125µl,10mMol/L","Budesonide is an anti-inflammatory corticosteroid.
Budesonide has shown the potent glucocorticoid activity and little mineralocorticoid activity. In addition, Budesonide has been reported to have a wide range of inhibitory activities against multiple cells types and mediators involved in allergic and nonallergic-mediated inflammatory. Besides, the anti-inflammatory action of budesonide has been revealed to contribute to the efficacy in asthma. ",C25H34O6,430.54,"USAN, INN, BAN, JAN","1. Henriksson G, et al. Am J Rhinol. 2001 Jan-Feb;15(1):1-8. "
95,Vardenafil hydrochloride trihydrate,2-B6,224785-90-4,"125µl,10mMol/L","Vardenafil (Levitra) is an oral therapy for the treatment of erectile dysfunction. It is a selective inhibitor of cyclic guanosine monophosphate (cGMP)-specific phosphodiesterase type 5 (PDE5). Penile erection is a hemodynamic process initiated by the relaxation of smooth muscle in the corpus cavernosum and its associated arterioles. During sexual stimulation, nitric oxide is released from nerve endings and endothelial cells in the corpus cavernosum. Nitric oxide activates the enzyme guanylate cyclase resulting in increased synthesis of cyclic guanosine monophosphate (cGMP) in the smooth muscle cells of the corpus cavernosum. The cGMP in turn triggers smooth muscle relaxation, allowing increased blood flow into the penis, resulting in erection. The tissue concentration of cGMP is regulated by both the rates of synthesis and degradation via phosphodiesterases (PDEs). The most abundant PDE in the human corpus cavernosum is the cGMPspecific phosphodiesterase type 5 (PDE5); therefore, the inhibition of PDE5 enhances erectile function by increasing the amount of cGMP. ",C23H32N6O4S.HCl.3H2O,579.11,USP,"1. Saenz de Tejada I, et al. Int J Impot Res, 2001, 13(5), 282-290."
96,Pazopanib HCl (GW786034 HCl),2-B7,635702-64-6,"125µl,10mMol/L","Pazopanib (GW786034) is a novel multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFR, FGFR, c-Kit and c-Fms with IC50 of 10 nM, 30 nM, 47 nM, 84 nM, 74 nM, 140 nM and 146 nM, respectively.",C21H23N7O2S.HCl,473.98,USP,"1. Harris PA, et al. J Med Chem. 2008, 51(15), 4632-4640."
97,Ipratropium bromide monohydrate,2-B8,66985-17-9,"125µl,10mMol/L","Ipratropium Bromide is a muscarinic antagonist, bronchodilator, N-Isopropyl salt of atropine.",C20H30BrNO3,430.38,"USAN, INN, BAN, JAN",1. Wellington K. Treat Respir Med. 2005; 4(3):215-20; discussion 221-2.
98,Tolterodine tartrate,2-B9,124937-52-6,"125µl,10mMol/L",Tolterodine is an antimuscarinic drug that is used to treat urinary incontinence. Tolterodine acts on M2 and M3 subtypes of muscarinic receptors.,C22H31NO.C4H6O6,475.58,,"1. Nilvebrant L, et al. Life Sci, 1997, 60(13-14), 1129-1136."
99,Atazanavir sulfate,2-B10,229975-97-7,"125µl,10mMol/L","Atazanavir (formerly known as BMS-232632) is an antiretroviral drug of the protease inhibitor (PI) class. Like other antiretrovirals, it is used to treat infection of human immunodeficiency virus (HIV). Atazanavir is distinguished from other PIs in that it can be given once-daily (rather than requiring multiple doses per day) and has lesser effects on the patient’s lipid profile (the amounts of cholesterol and other fatty substances in the blood). Like other protease inhibitors, it is used only in combination with other HIV medications. The U.S. Food and Drug Administration (FDA) approved atazanavir on June 20, 2003. ",C38H52N6O7.H2SO4,802.93,,"1. Dierynck I, et al. J Virol. 2007 Oct 10;"
100,Doxazosin mesylate,2-B11,77883-43-3,"125µl,10mMol/L","Doxazosin Mesylate is a selective, long-lasting antagonist of a1-adrenergic receptor. Doxazosin Mesylate has been reported to potentiate contraction response to 5-HT in a dose-dependent manner. Doxazosin significantly reduced alcohol drinking and increased water intake in adult male P rats.Studies has indicated that doxazosin could inhibit TNF-a expression in LPS-induced systemic inflammation model as well as reduce the MCP-1 production in LPS-induced pulmonary inflammation model. Additionally, Doxazosin decreased thickness of footpad in the delayed-type hypersensitivity mice model. Doxazosin had been reported to slightly reduce MCP-1 level in the peritoneal cavity of mice induced by thioglycollate. ",C24H29N5O8S,547.58,"USAN, INN, BAN, JAN","1. Garrison JB, et al. Cancer Res, 2006, 66(1), 464-472."
101,Naloxone HCl,2-C2,357-08-4,"125µl,10mMol/L",Naloxone HCl is an opioid inverse agonist drug used to counter the effects of opiate overdose.,C19H21NO4.HCl,363.84,"USP, INN, BAN, JAN","1. Liu B, et al. J Pharmacol Exp Ther, 2000, 293(2), 607-617."
102,Dipivefrin HCl,2-C3,64019-93-8,"125µl,10mMol/L","Dipivefrin is a prodrug of adrenaline, which is used to treat glaucoma. It is available as ophthalmic solution (eye drops). ",C19H27NO5.HClO4,387.9,USP,"1. Nakamura M, et al. Ophthalmic Res. 1993;25(1):46-51."
103,Arbidol HCl,2-C4,131707-23-8,"125µl,10mMol/L",Arbidol HCl is an antiviral treatment for influenza infection.,C22H25BrN2O3S.HCl,513.88,,"1. Wang MZ, et al. Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2004 Jun;26(3):289-93."
104,Carbachol,2-C5,51-83-2,"125µl,10mMol/L",A slowly hydrolyzed cholinergic agonist that acts at both muscarinic and nicotinic receptors.,C6H15ClN2O2,182.65,"USP, INN, BAN, JAN","1. Weiner DM, et al. Am J Pharmacogenomics. 2004;4(2):119-28."
105,Methazolamide,2-C6,554-57-4,"125µl,10mMol/L",A carbonic anhydrase inhibitor that is used as a diuretic and in the treatment of glaucoma.,C5H8N4O3S2,236.27,"USP, INN, BAN, JAN","1. Casini A, et al. Bioorg Med Chem Lett, 2003, 13(5), 841-845."
106,Halcinonide,2-C7,3093-35-4,"125µl,10mMol/L",Halcinonide is a high potency corticosteroid used in topical preparations as an anti-inflammatory agent.,C24H32ClFO5,454.96,"USP, INN, BAN, JAN","1. Zhang YD, et al. Am J Surg, 2002, 184(1), 74-77."
107,Bumetanide,2-C8,28395-03-1,"125µl,10mMol/L",Bumetanide is a Loop Diuretic. The physiologic effect of bumetanide is by means of Increased Diuresis at Loop of Henle.,C17H20N2O5S,364.41,"USP, INN, BAN, JAN",1. Thakker RV. Adv Nephrol Necker Hosp. 1999;29:289-98.
108,Molsidomine,2-C9,25717-80-0,"125µl,10mMol/L","A morpholinyl sydnone imine ethyl ester, having a nitrogen in place of the keto oxygen. It acts as NITRIC OXIDE DONORS and is a vasodilator that has been used in ANGINA PECTORIS.",C9H14N4O4,242.23,"USAN, INN, BAN, JAN","1. Rosenkranz B, et al. Clin Pharmacokinet. 1996 May;30(5):372-84."
109,Zalcitabine,2-C10,7481-89-2,"125µl,10mMol/L","A dideoxynucleoside compound in which the 3'-hydroxy group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.  ",C9H13N3O3,211.22,"USP, INN, BAN","1. Devineni D, Gallo JM. Clin Pharmacokinet. 1995 May;28(5):351-60. "
110,Solifenacin succinate,2-C11,242478-38-2,"125µl,10mMol/L","Solifenacin (rINN), marketed as solifenacin succinate under the trade name Vesicare, is a urinary antispasmodic of the anticholinergic class. It is used in the treatment of overactive bladder with urge incontinence.  ",C23H26N2O2.C4H6O4,480.56,"USAN, INN","1. Sinha S, et al. Br J Pharmacol. 2010 Jul;160(5):1119-27. "
111,Diltiazem HCl,2-D2,33286-22-5,"125µl,10mMol/L",A benzothiazepine derivative with vasodilating action due to its antagonism of the actions of CALCIUM ion on membrane functions.,C22H27ClN2O4S,450.98,"USP, INN, BAN, JAN","1. Budriesi R, et al. Mini Rev Med Chem. 2009 Oct; 9(12):1379-88. "
112,Strychnine Sulfate,2-D3,60-41-3,"125µl,10mMol/L","In smaller doses, strychnine functions as a stimulant and an athletic performance-enhancer. The most common source is from the seeds of the Strychnos nux-vomica tree.",C21H22N2O2.0.5H2SO4,383.45,NF-X,"1. Leccese AP, Quinton EE. Behav Neurosci. 1983 Apr;97(2):323-6."
113,Mebhydrolin napadisylate,2-D4,6153-33-9,"125µl,10mMol/L","It is used for symptomatic relief of allergic symptoms caused by histamine release, including nasal allergies and allergic dermatosis.
Mebhydrolin has been shown to enhance the performance-deficit effects of alcohol.",C19H20N2·1/2C10H8O6S2,420.52,"INN, BAN, JAN","1. Franks HM, et al. Med J Aust. 1981 Oct 31;2(9):477-9."
114,Balofloxacin,2-D5,127294-70-6,"125µl,10mMol/L","Balofloxacin is a quinolone antibiotic, inhibiting the synthesis of bacterial DNA by interference with the enqyme DNA gyrase.",C20H24FN3O4,389.42,INN,1. Alksne L. Curr Opin Investig Drugs. 2003 Feb;4(2):224-9.
115,Suplatast tosilate,2-D6,94055-76-2,"125µl,10mMol/L","Suplatast Tosilate(IPD 1151T) is a Th2 cytokine inhibitor that attenuates IL-2, IL-5 and IL-13 production and has no effect on IFN-? production.",C23H33NO7S2,499.64,,"1. Mimura T, et al. J Pharmacol Exp Ther, 2005, 314(1), 293-301."
116,Mizolastine,2-D7,108612-45-9,"125µl,10mMol/L","Mizolastine is a histamine H1-receptor antagonist with IC50 of 47 nM used in the treatment of hay fever (seasonal allergic rhinitis), hives and other allergic reactions.",C24H25FN6O,432.49,USP,"1. Brostoff J, et al.
Allergy. 1996 May; 51(5):320-5."
117,Nitrendipin,2-D8,39562-70-4,"125µl,10mMol/L","A calcium channel blocker with marked vasodilator action. It is an effective antihypertensive agent and differs from other calcium channel blockers in that it does not reduce glomerular filtration rate and is mildly natriuretic, rather than sodium retentive. ",C18H20N2O6,360.36,USP,"1. Perez-Reyes E, et al. J Pharmacol Exp Ther. 2009 Feb;328(2):621-7."
